filename	rising_voltage	stopping_voltage	v_rise	v_rise_unc	v_fall	v_fall_unc	r_squared_rise	r_squared_fall	reduced_chi_squared_rise	reduced_chi_squared_fall	rise_intercept	rise_intercept_unc	fall_intercept	fall_intercept_unc
312.4_407.2.tsv	407.2.tsv	312.4	-1.1136952721861338e-05	4.822089323319494e-07	4.479962909310828e-05	3.925166509679253e-07	0.9065963578292866	0.9971480296152061	40.74886396830414	7.225251833638429	0.0011712678797951924	7.619067555188542e-06	6.64674117353676e-05	9.134325583455081e-06
226.0_252.3.tsv	252.3.tsv	226.0	-1.6458644215633083e-05	5.154057560399561e-07	0.00012759164749753931	6.078137164988929e-07	0.9491237674325488	0.999411439348174	354.846292887668	17.975251938477147	0.000524329683728243	4.227638797781429e-06	-0.0012287324612357496	8.318627826620743e-06
188.7_324.0.tsv	324.0.tsv	188.7	-2.4884010308812246e-05	5.087421123921922e-07	3.203151482927043e-05	4.787095416194903e-07	0.984120186954102	0.9930631624948858	584.4985650485609	415.05782762021727	0.00038254914592810867	5.056763611542414e-06	-0.0003125467837826573	6.824764983134546e-06
193.4_265.7.tsv	265.7.tsv	193.4	-9.262877278471759e-06	1.5954969527855327e-07	4.105533873588514e-05	1.2893434063860355e-06	0.9841199232372545	0.9788594891164741	54.80509801679551	247.07331922894778	0.00044478092396793757	2.8806793342302816e-06	-0.0006557498430766459	3.0845093304518544e-05
102.7_112.1.tsv	112.1.tsv	102.7	-7.2619826279955905e-06	2.1274814094994748e-07	7.255642438728877e-05	4.3653601841852573e-07	0.9565608447733084	0.9988296223654817	16.40418296370166	16.985897695116577	0.000663306729110294	1.1562068160290852e-06	-9.623492305255534e-05	5.006998482439949e-06
247.7_274.2.tsv	274.2.tsv	247.7	-1.0696116675650938e-05	1.1222872671488624e-07	7.606948889344169e-05	4.924814319367315e-07	0.9891671228242491	0.9971367975869618	54.764902385241086	102.84314688219143	0.0006783046627162297	1.4726985804580386e-06	-0.000907685293421345	1.026722338688377e-05
432.2_582.3.tsv	582.3.tsv	432.2	-2.2666773274593076e-05	3.677114061966027e-07	5.495872239088483e-05	2.8721612922565676e-07	0.9848192010221822	0.9987385731136372	32.89138145604745	10.198800189194753	0.001066847875904444	3.2776742469207065e-06	0.00013333885479725136	4.116608201922421e-06
537.2_582.9.tsv	582.9.tsv	537.2	-7.794204795563263e-06	1.801931042423729e-07	7.072008762475668e-05	2.6447598921394533e-07	0.96195822725756	0.9990770803303188	12.265450695505052	18.454415483007395	0.0010537653694988607	8.255918664208634e-07	5.702908446122449e-05	4.570886165569287e-06
184.7_289.7.tsv	289.7.tsv	184.7	-2.0474128329152342e-05	2.4060078954166796e-07	3.659394254900595e-05	5.429504384350006e-07	0.9920870863484359	0.9931205652941664	16.59426460851379	12.810249150315734	0.0010806133420823063	2.6102464045388563e-06	0.0002875739476036741	8.498289968929614e-06
349.8_432.7.tsv	432.7.tsv	349.8	-9.237366296851483e-06	1.6830336453118232e-07	4.81451269908234e-05	4.279197454723352e-07	0.9702377021426368	0.9968742711427787	43.772048317977465	22.91021367444053	0.0008418734499519792	2.359900408405113e-06	-0.00022466126133179686	8.93975345238547e-06
237.7_314.7.tsv	314.7.tsv	237.7	-5.423085472101557e-06	1.932772891260152e-07	4.557391922259896e-05	2.695269590031098e-07	0.8694308388604068	0.997002417866291	307.08845468731033	108.24164656789074	0.0005261891655056304	4.3081887119610655e-06	-0.0009952670385938427	9.006716376734546e-06
122.7_192.6.tsv	192.6.tsv	122.7	-1.5520153055494335e-05	2.9561948601243363e-07	2.4674483088557426e-05	1.6915474477057743e-07	0.9655351901391627	0.9960221181006512	1215.8426683265589	280.65611520359784	0.00038197795595257516	3.5484575705262286e-06	-0.00024318841265617974	3.207537278586419e-06
322.1_424.8.tsv	424.8.tsv	322.1	-2.1163000894522565e-05	3.036240042342167e-07	4.272636017182182e-05	3.0875682725658756e-07	0.9907228518012715	0.9974988852294902	38.03127691381544	41.04867678652469	0.0008672135888246108	5.681340840989737e-06	-0.0005182072379688617	7.39410618841562e-06
145.2_192.6.tsv	192.6.tsv	145.2	-1.4612323825804528e-05	2.896724525095362e-07	2.739512180369114e-05	3.1978801310731926e-07	0.9787993251953444	0.9948125613940864	28.02703939581491	11.458023023543602	0.0008819456168049187	3.18361817711474e-06	0.0002807523971316434	5.416730222485654e-06
445.6_582.4.tsv	582.4.tsv	445.6	-1.7381381038395886e-05	2.1877586388162655e-07	5.817687613812532e-05	7.16219479633166e-07	0.9907643223659396	0.9946185820179789	42.32372097756744	78.85557370334931	0.0008711579208761529	4.520149687733246e-06	-0.0009528731542440063	1.8570739674457877e-05
98.5_193.7.tsv	193.7.tsv	98.5	-1.2118531855631683e-05	2.2819246029412717e-07	2.9818692703481318e-05	2.0407965427938532e-07	0.9772582425848775	0.9966514566004112	182.4931241229942	124.95143424155506	0.00040043497913957234	1.8596824525703003e-06	-8.878755685795939e-05	3.075526981697259e-06
398.0_532.1.tsv	532.1.tsv	398.0	-9.359793130796343e-06	1.0631148822897166e-07	6.140276308041386e-05	3.54585908669643e-07	0.9820589660571476	0.9984291182885506	27.497176589851563	8.80576803355149	0.001137875861709857	1.5342274180006827e-06	-0.00034875677543283294	8.24253211291188e-06
137.1_262.9.tsv	262.9.tsv	137.1	-2.8211606989941625e-05	3.9337522931897746e-07	3.0111788596204366e-05	2.5068697320766496e-07	0.9927947036561102	0.9956135976466668	114.67628455303152	270.62150005807007	0.0005132289895607784	3.915992092732551e-06	-0.000331149049066689	4.741946152205529e-06
113.4_182.7.tsv	182.7.tsv	113.4	-1.4781120929342027e-05	3.380064930387014e-07	2.0339562850704154e-05	2.444195701745667e-07	0.980155965102027	0.9917400960906011	356.11277936202447	213.5144629398286	0.0003001953794914839	3.126829751201491e-06	-0.00011441761522754676	3.4944705584638538e-06
151.6_192.4.tsv	192.4.tsv	151.6	-9.174788931387565e-06	2.484971036281412e-07	3.4359383970543174e-05	7.156103846817724e-07	0.9580063252866405	0.9915895329624367	35.912763451366246	37.777426547445174	0.0007430725623507343	3.4235405996376586e-06	-6.86571390186232e-05	1.461423806826061e-05
215.6_302.6.tsv	302.6.tsv	215.6	-5.379430404101161e-06	1.2354865661702913e-07	3.675059013079235e-05	9.335504412561658e-07	0.9654400326322419	0.9813724962535662	6.400453944866051	28.848384108224796	0.000909935106348427	1.2121793865437638e-06	0.0003313655972645591	1.452668962789532e-05
289.2_398.7.tsv	398.7.tsv	289.2	-9.19382682265505e-06	1.3030846160067975e-07	3.982729207757259e-05	5.998797506453291e-07	0.9864475782583713	0.9962830297382722	14.476177242212236	16.489797133499287	0.0009171639262548246	1.7224591860383905e-06	-1.0495929166158564e-05	1.2709847859040896e-05
280.1_403.3.tsv	403.3.tsv	280.1	-1.6360228425777377e-05	2.524738519211949e-07	4.008566521346791e-05	2.401430597187942e-07	0.9832917067003503	0.998252799160522	37.047195914658246	10.877534615566178	0.0009444027723938981	2.700191864630949e-06	0.00013592879636788562	4.081542884291502e-06
187.2_324.9.tsv	324.9.tsv	187.2	-1.7447323055252912e-05	2.842293197396614e-07	3.683179419135535e-05	4.565610784312231e-07	0.9849959589929607	0.9938492913253205	43.943088998081286	44.3405219775737	0.000685325002230648	1.3138827868245828e-06	0.00020252849739356633	5.392881786000862e-06
