y-position
328
329
330
332
333
333
333
333
334
335
335
336
337
337
337
337
337
338
338
339
339
339
341
342
343
343
343
341
340
340
340
340
340
340
340
340
338
341
343
343
344
344
345
345
345
345
345
343
341
340
340
339
339
338
338
338
338
338
338
340
341
341
341
343
343
344
345
345
345
345
345
343
342
341
341
341
341
342
343
343
343
344
344
345
346
346
345
344
344
345
345
344
343
343
343
343
342
342
341
341
341
342
341
340
340
339
339
339
339
338
337
334
332
332
332
332
332
331
330
329
328
326
326
326
326
326
324
323
322
322
322
323
323
322
321
321
320
317
319
319
319
319
321
320
317
317
316
316
316
#NV
316
317
314
315
315
315
314
313
#NV
312
312
#NV
311
308
307
307
307
306
306
306
306
306
306
306
306
306
304
300
300
300
299
299
299
299
299
299
299
#NV
299
302
305
308
308
#NV
312
314
314
#NV
316
#NV
#NV
321
323
#NV
#NV
#NV
331
335
335
337
#NV
#NV
343
346
346
#NV
#NV
#NV
#NV
#NV
354
#NV
359
#NV
#NV
#NV
372
374
376
#NV
#NV
#NV
#NV
380
#NV
383
384
#NV
#NV
#NV
#NV
#NV
#NV
393
#NV
#NV
#NV
#NV
400
#NV
403
